"ls",i,o,o,o,a,i,s,o,o,p,o,o,o,o,p,o,al,o,al,p,o,o,o,p,o,o,o,o,a,o,o,o,a,s,s,o,o,p,o,o,o,o,i,o,p,o,p,p,o,o,o,p,o,o,o,o,a,o,o,o,s,s,a,o,o,p,o,o,o,o
"av",al,al,al,o,o,o,o,s,c,c,o,p,o,i,o,s,c,c,p,o,o,o,i,c,p,c,o,o,c,s,c,p,o,o,o,a,c,c,p,o,o,o,o,o,c,p,c,i,i,o,c,c,p,o,o,o,o,c,c,s,p,o,o,s,c,c,p,o,o,o
"lc",o,p,o,s,o,o,o,o,p,o,s,o,o,o,o,p,o,p,o,s,a,o,p,o,s,o,o,p,o,p,o,al,o,o,o,o,s,o,al,o,o,o,o,o,o,o,i,o,p,o,i,o,p,o,o,o,o,p,o,i,o,p,p,o,i,o,p,o,o,o
"km",p,o,o,o,o,o,o,i,o,o,o,o,o,o,i,o,o,o,o,o,i,o,o,o,o,o,o,o,i,o,o,o,o,o,o,i,o,o,o,o,o,o,p,o,o,o,o,o,p,o,o,o,o,o,o,o,p,o,o,o,o,o,o,a,o,o,o,o,o,o
"bb",o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o,o,a,a,o,o,o,o
"jd",o,o,o,o,o,o,o,o,o,a,o,o,o,o,o,o,o,o,o,o,o,o,o,a,o,o,o,o,o,o,o,o,o,o,o,o,o,a,o,o,o,o,o,o,o,o,o,o,o,o,o,a,o,o,o,o,o,o,o,o,o,o,o,o,o,cl,o,o,o,o
"ck",p,o,p,o,o,o,o,p,o,a,o,o,s,s,p,o,p,o,o,o,p,p,o,a,o,o,o,o,p,p,o,o,o,o,p,p,o,i,o,o,i,o,p,o,i,o,o,o,o,a,o,p,o,o,i,i,p,p,o,o,o,p,o,al,o,al,o,o,o,o
"tb",o,o,a,o,p,o,o,a,o,p,o,o,o,o,a,o,o,p,o,o,o,o,a,p,o,o,s,a,a,o,p,o,o,o,o,s,o,p,o,o,p,p,o,i,p,o,o,o,o,i,o,o,o,p,o,o,i,o,p,o,o,o,o,i,o,p,o,o,o,o
"rg",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"gm",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"db",o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o
"cc",o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o
"mc",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o
"sd",o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o
"ml",o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o
"hl",o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
"dl",o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o
"rm",o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o
"gn",o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o
"ew",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc
"lb",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o
"dh",o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o
