"rp",o,c,o,p,o,o,p,o,c,o,p,c,o,p,o,i,o,p,o,o,o,o,s,o,p,c,o,p,o,s,o,p,o,o,p,o,i,o,al,al,o,al,o,al,o,al,o,o,al,o,al,o,al,o,o,p,o,s,o,p,o,o,p,o,i,o,p,c,o,p
"tb",i,o,p,o,o,o,o,o,o,o,p,p,o,o,al,al,al,o,o,o,o,al,al,al,o,o,o,o,al,al,al,o,o,o,o,s,c,p,o,o,o,o,o,s,o,p,p,o,o,i,o,p,o,o,o,o,o,i,p,o,o,o,o,o,i,p,o,o,p,p
"rp",o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,oc,o,o,o
"tb",o,o,o,o,o,o,o,o,o,o,o,oc,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,oc,o
