rg,19/02/2024,al,al,o,1
rg,20/02/2024,al,al,o,2
rg,21/02/2024,al,al,o,3
rg,22/02/2024,al,al,o,4
rg,26/02/2024,c,o,c818,8
rg,27/02/2024,c,o,c818,9
rg,28/02/2024,c,o,c818,10
rg,29/02/2024,p,p1624,c1416,11
rg,04/03/2024,a,a818,o,15
rg,05/03/2024,phnw,phnw,o,16
rg,06/03/2024,c,o,c818,17
rg,07/03/2024,c,o,c818,18
rg,11/03/2024,phnw,phnw,o,22
rg,12/03/2024,c,o,c818,23
rg,13/03/2024,c,o,c818,24
rg,14/03/2024,p,p1624,c1416,25
rg,18/03/2024,c,o,c818,29
rg,19/03/2024,c,o,c818,30
rg,20/03/2024,c,o,c818,31
rg,23/03/2024,a,a818,o,34
rg,25/03/2024,c,o,c818,36
rg,26/03/2024,c,o,c818,37
rg,27/03/2024,c,o,c818,38
rg,28/03/2024,p,p1624,c1416,39
rg,01/04/2024,al,al,o,43
rg,02/04/2024,al,al,o,44
rg,03/04/2024,al,al,o,45
rg,04/04/2024,al,al,o,46
rg,08/04/2024,c,o,c818,50
rg,09/04/2024,c,o,c818,51
rg,10/04/2024,c,o,c818,52
rg,13/04/2024,a,a818,o,55
rg,15/04/2024,c,o,c818,57
rg,16/04/2024,c,o,c818,58
rg,17/04/2024,c,o,c818,59
rg,18/04/2024,p,p1624,c1416,60
rg,22/04/2024,c,o,c818,64
rg,23/04/2024,c,o,c818,65
rg,24/04/2024,c,o,c818,66
rg,27/04/2024,s,s818,o,69
gm,19/02/2024,c,o,c818,1
gm,20/02/2024,p,p1624,c1416,2
gm,22/02/2024,perl,perl,o,4
gm,25/02/2024,a,a818,o,7
gm,26/02/2024,c,o,c818,8
gm,27/02/2024,p,p1624,c1416,9
gm,29/02/2024,c,o,c818,11
gm,01/03/2024,a,a818,o,12
gm,04/03/2024,phnw,phnw,o,15
gm,05/03/2024,p,p1624,c1416,16
gm,07/03/2024,c,o,c818,18
gm,10/03/2024,a,a818,o,21
gm,11/03/2024,c,o,c818,22
gm,12/03/2024,p,p1624,c1416,23
gm,14/03/2024,c,o,c818,25
gm,15/03/2024,c,o,c818,26
gm,18/03/2024,al,al,o,29
gm,19/03/2024,al,al,o,30
gm,20/03/2024,al,al,o,31
gm,21/03/2024,al,al,o,32
gm,25/03/2024,c,o,c818,36
gm,26/03/2024,p,p1624,c1416,37
gm,28/03/2024,c,o,c818,39
gm,31/03/2024,s,s818,o,42
gm,01/04/2024,c,o,c818,43
gm,02/04/2024,p,p1624,c1416,44
gm,04/04/2024,c,o,c818,46
gm,05/04/2024,a,a818,o,47
gm,08/04/2024,c,o,c818,50
gm,09/04/2024,p,p1624,c1416,51
gm,11/04/2024,c,o,c818,53
gm,12/04/2024,a,a818,o,54
gm,15/04/2024,c,o,c818,57
gm,16/04/2024,p,p1624,c1416,58
gm,18/04/2024,c,o,c818,60
gm,19/04/2024,a,a818,o,61
gm,22/04/2024,c,o,c818,64
gm,23/04/2024,p,p1624,c1416,65
gm,25/04/2024,c,o,c818,67
gm,28/04/2024,a,a818,o,70
db,19/02/2024,a,a818,o,1
db,20/02/2024,a,a818,o,2
db,22/02/2024,i,i818,o,4
db,23/02/2024,p,p1624,c1416,5
db,26/02/2024,a,a818,o,8
db,27/02/2024,p,p1624,c1416,9
db,29/02/2024,a,a818,o,11
db,01/03/2024,a,a818,o,12
db,04/03/2024,phnw,phnw,o,15
db,05/03/2024,p,p1624,c1416,16
db,08/03/2024,a,a818,o,19
db,11/03/2024,a,a818,o,22
db,12/03/2024,p,p1624,c1416,23
